,pvar,pvarcode,pvarname,cutoff,use
486,3144,Bry.leav,Bryales: leaves,0.005,1
487,3194,Byi,Bryidae,0.005,1
488,1765,Byo,Bryonia,0.005,1
489,1071,Bry.s.ud,Bryophyte spore undiff.,0.005,1
490,984,Bry.s,Bryophyte spores,0.005,1
491,114,Bug.a,Buglossoides arvensis,0.005,1
492,1967,Bug.a-T,Buglossoides arvensis-type,0.005,1
493,3427,Bug-T,Buglossoides-type,0.005,1
494,115,Bun,Bunium,0.005,1
495,1574,Bun-T,Bunium-type,0.005,1
496,3245,Bph,Buphthalmum,0.005,1
497,116,Bup,Bupleurum,0.005,1
498,2092,Bup.f-T,Bupleurum falcatum-type,0.005,1
499,2532,Bup.r,Bupleurum ranunculoides,0.005,1
500,117,Bup-T,Bupleurum-type,0.005,1
501,2435,Butae,Butomaceae,0.005,1
502,2303,But,Butomus,0.005,1
503,118,But.u,Butomus umbellatus,0.005,1
504,2294,But-T,Butomus-type,0.005,1
505,119,Bux,Buxus,0.005,1
506,120,Bux.s,Buxus sempervirens,0.005,1
507,3304,Bux.s-T,Buxus sempervirens-type,0.005,1
508,2726,Cabomeae,Cabombaceae,0.005,1
509,3651,Cae-T,Caesalpinea-type,0.005,1
510,1890,Cld,Calendula,0.005,1
511,127,Cli,Calicotome,0.005,1
512,121,Cll,Calla,0.005,1
513,1350,Cal.p,Calla palustris,0.005,1
514,2166,Cal.g,Callidina angusticollis,0.005,1
515,1450,Cag,Calligonum,0.005,1
516,1851,Cal.a,Calligonum aphyllum,0.005,1
517,1451,Cal.c,Calligonum comosum,0.005,1
518,2939,Cag-T,Calligonum-type,0.005,1
519,2106,Cal/Pte,Calligonum/Pteropyrum,0.005,1
520,1854,Cal.m-T,Callipeltis microstegia-type,0.005,1
521,122,Clt,Callitriche,0.005,1
522,3025,Cal,Calluna,0.005,1
523,124,Cal.v,Calluna vulgaris,0.005,1
524,3643,Cal.v.st,Calluna vulgaris: stomata,0.005,1
525,1657,Caa-T,Calluna-type,0.005,1
526,125,Clh,Caltha,0.005,1
527,1379,Cat.p,Caltha palustris,0.005,1
528,1162,Cal.p-T,Caltha palustris-type,0.005,1
529,126,Clh-T,Caltha-type,0.005,1
530,128,Cyg,Calystegia,0.005,1
531,1677,Cal.s,Calystegia sepium,0.005,1
532,1468,Cal-T,Calystegia-type,0.005,1
533,129,Cam,Campanula,0.005,1
534,3577,Cam.b,Campanula barbata,0.005,1
